commodity_code,NAFTA,CCFTA,CCoFTA,CHFTA,CPaFTA,CPFTA,CKFTA,WTO-AGP,CETA,CPTPP,Type
WR3610,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3610A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3610AA,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3610AB,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3610AC,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3611,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3615,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3620,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3625,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3630,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3695,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3710,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3720,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3750,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3805,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3805B,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3805C,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3805D,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3810,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3825,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3830,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3895,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3910,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3920,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3930,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
WR3930A,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
WR3930AA,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
WR3950,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3960,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR3990,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4110,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4120,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4130,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4140,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4210,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4310,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4320,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4410,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4410A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4460,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4510,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4510A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4510AA,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4520,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4520A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4520AB,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4530,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4540,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4610,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4910,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4930,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR4940,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5110,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5120,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5130,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5140,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5210,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5220,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5280,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5340,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5410,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5410A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5411,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5430,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5440,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5440B,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5445,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5680,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5805,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
WR5810,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
WR5830,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
WR5835,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
WR5836,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
WR5845,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
WR5855,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
WR5860,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
WR5895,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
WR5930,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5975,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5985,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5995,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR5999,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6105,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6115,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6115AA,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6120,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6130,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6210,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6310,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6515,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6515A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6525,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6530,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6532,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6625,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6630,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6630A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6635,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6640,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6655,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6655A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6660,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6665,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6670,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6675,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6675A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6685,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6695,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6710,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
WR6720,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
WR6730,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
WR6740,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
WR6750,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
WR6760,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
WR6770,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
WR6810A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6830,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR6930,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR7010,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR7010AD,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR7010DA,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR7020,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR7021,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR7022,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR7025,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR7025B,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR7035AN,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR7105,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR7125,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR7220A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR7290,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR7460,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
WR7830,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR7910,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR7920,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR8120,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR8135,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR8145,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR8340,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR8405A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR8415,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR8820,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR8960Z,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
WR9905,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services
X111B,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
X112A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
X113A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
X130A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
X170A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
X190A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
X193A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
AA415500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AA415504,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AA910300,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AC217760,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AC517728,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AC517748,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AC617732,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AC617736,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AC617768,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AD217740,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AD917700,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AD917712,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AD917716,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AD917720,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AD917724,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AE913500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AG214542,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AG214562,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AG214566,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AG214600,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AG414668,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AG614500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AG914510,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AG914538,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AG914558,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AH115032,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AH115036,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AH215000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AH215020,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AH215024,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AH910222,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ110224,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ110700,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ110724,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ111000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ111140,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ112000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ119000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ119004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ119036,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ119040,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ119064,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ119084,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ212500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ212512,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ212516,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ212528,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ212540,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ212552,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ212568,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ311500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ412000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ412008,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ412040,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ412048,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ412060,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ412068,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ412072,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ412100,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ716500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ716650,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AJ914000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AK117000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AN117500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AN417668,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AP216000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AP313000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AP313076,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AP518500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AP518588,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AR110432,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AR210440,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AR210444,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AR210480,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AR410476,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AR910400,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AS219528,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AS219652,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AS319620,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AS419584,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AS419632,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AS918564,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AT319560,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AT419628,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AT619624,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AT919500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AV718000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AZ110111,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AZ110112,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AZ110114,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AZ110134,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AZ110136,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AZ110140,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AZ110172,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AZ110174,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AZ110176,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AZ110178,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AZ110210,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AZ110252,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
AZ110254,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
B000A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
B002A,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
B100A,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,Services
B101A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
B101B,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
B102A,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,Services
B103A,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,Services
B109A,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,Services
B200A,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,Services
B200B,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,Services
B201A,YES,YES,YES,YES,YES,YES,#NO,NO,NO,NO,Services
B202A,YES,YES,YES,YES,YES,YES,#NO,NO,NO,NO,Services
B204A,YES,YES,YES,YES,YES,YES,#NO,NO,NO,NO,Services
B206A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
B206B,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
B208B,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
B208BB,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
B219A,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,Services
B301A,YES,YES,YES,YES,YES,YES,#NO,#N/A,#N/A,#N/A,Services
B303A,YES,YES,YES,YES,YES,YES,#NO,#N/A,#N/A,#N/A,Services
B304A,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,Services
B308A,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,Services
B311B,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,Services
B314A,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,Services
B329A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
B329B,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
B400A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
B500A,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,Services
B500B,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,Services
B503A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
B503B,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services
B506D,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,Services
B509A,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,Services
C111A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C112A,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,Services
C113A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C114A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C115A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C116A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C117A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C118A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C119A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C119AH,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C119B,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C119C,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C119F,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C121A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C122A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C123A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C129A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C130A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C211A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C211D,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C211DA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C211E,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C211F,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C212B,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C213A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C213C,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C216A,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,Services
C216AA,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,Services
C216AB,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,Services
C216BA,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,Services
C216BB,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,Services
C216BC,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,Services
C216C,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,Services
C219A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C219AB,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C219BE,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C219BF,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C219BJ,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C219BK,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C219C,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C219CBA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C219CBI,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C219CJ,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C219D,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
C219DA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D301A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D301B,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D301BB0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D301BBM,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D301BBN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D301C,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D301CD,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D301D,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D302A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D302AAH,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D302AAI,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D302AAJ,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D302AAP,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D302AAR,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D302AAS,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D302D,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D303AA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D304A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D307A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D307AB,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D308A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D309A,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D309BB,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D311A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D312A,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,Services
D315A,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,Services
D316A,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,Services
D316AB,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,Services
D316B,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,Services
D317B,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D317C,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D317D,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
D317E,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,Services
D317EA,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,Services
D317EB,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,Services
D399A,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,Services
