commodity_code,NAFTA,CCFTA,CCoFTA,CHFTA,CPaFTA,CPFTA,CKFTA,WTO-AGP,CETA,CPTPP,Type
5161C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5161D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5162A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5162B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5162C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5162D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5163A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5163B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164AB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164AF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164CA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164CB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164CC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164CE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164CF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164CG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164CH,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164CJ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164CK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164CM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164CN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164CP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164CQ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164CU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164CV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164CW,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5164E,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5165A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5165AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
