,commodity_code,NAFTA,CCFTA,CCoFTA,CHFTA,CPaFTA,CPFTA,CKFTA,WTO-AGP,CETA,CPTPP,Type,CUFTA
863,WR2320AB,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
864,WR2320B,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
865,WR2320BA,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
866,WR2320C,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
867,WR2320CA,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
868,WR2320D,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
869,WR2320DA,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
870,WR2320E,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
871,WR2320FA,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
872,WR2320G,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
873,WR2320L,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
874,WR2320M,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
875,WR2330,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
876,WR2330B,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
877,WR2330C,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
878,WR2340,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
879,WR2350,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
880,WR2350A,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
881,WR2410,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
882,WR2420,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
883,WR2430,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
884,WR2510,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
885,WR2590,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
886,WR2610,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
887,WR2805,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
888,WR2815,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
889,WR2820,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
890,WR2835,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
891,WR2895,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
892,WR3030,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
893,WR3210,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
894,WR3230,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
895,WR3419,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
896,WR3431,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
897,WR3433,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
898,WR3438,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
899,WR3439,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
900,WR3510,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
901,WR3590,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
902,WR3610,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
903,WR3610A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
904,WR3610AA,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
905,WR3610AB,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
906,WR3610AC,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
907,WR3611,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
908,WR3615,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
909,WR3620,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
910,WR3625,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
911,WR3630,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
912,WR3695,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
913,WR3710,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
914,WR3720,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
915,WR3750,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
916,WR3805,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
917,WR3805B,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
918,WR3805C,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
919,WR3805D,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
920,WR3810,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
921,WR3825,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
922,WR3830,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
923,WR3895,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
924,WR3910,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
925,WR3920,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
926,WR3930,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
927,WR3930A,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
928,WR3930AA,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
929,WR3950,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
930,WR3960,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
931,WR3990,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
932,WR4110,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
933,WR4120,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
934,WR4130,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
935,WR4140,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
936,WR4210,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
937,WR4310,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
938,WR4320,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
939,WR4410,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
940,WR4410A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
941,WR4460,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
942,WR4510,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
943,WR4510A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
944,WR4510AA,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
945,WR4520,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
946,WR4520A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
947,WR4520AB,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
948,WR4530,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
949,WR4540,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
950,WR4610,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
951,WR4910,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
952,WR4930,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
953,WR4940,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
954,WR5110,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
955,WR5120,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
956,WR5130,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
957,WR5140,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
958,WR5210,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
959,WR5220,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
960,WR5280,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
961,WR5340,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
962,WR5410,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
963,WR5410A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
964,WR5411,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
965,WR5430,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
966,WR5440,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
967,WR5440B,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
968,WR5445,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
969,WR5680,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
970,WR5805,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
971,WR5810,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
972,WR5830,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
973,WR5835,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
974,WR5836,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
975,WR5845,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
976,WR5855,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
977,WR5860,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
978,WR5895,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
979,WR5930,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
980,WR5975,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
981,WR5985,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
982,WR5995,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
983,WR5999,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
984,WR6105,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
985,WR6115,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
986,WR6115AA,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
987,WR6120,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
988,WR6130,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
989,WR6210,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
990,WR6310,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
991,WR6515,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
992,WR6515A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
993,WR6525,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
994,WR6530,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
995,WR6532,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
996,WR6625,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
997,WR6630,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
998,WR6630A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
999,WR6635,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1000,WR6640,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1001,WR6655,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1002,WR6655A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1003,WR6660,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1004,WR6665,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1005,WR6670,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1006,WR6675,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1007,WR6675A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1008,WR6685,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1009,WR6695,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1010,WR6710,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
1011,WR6720,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
1012,WR6730,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
1013,WR6740,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
1014,WR6750,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
1015,WR6760,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
1016,WR6770,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
1017,WR6810A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1018,WR6830,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1019,WR6930,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1020,WR7010,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1021,WR7010AD,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1022,WR7010DA,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1023,WR7020,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1024,WR7021,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1025,WR7022,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1026,WR7025,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1027,WR7025B,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1028,WR7035AN,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1029,WR7105,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1030,WR7125,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1031,WR7220A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1032,WR7290,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1033,WR7460,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
1034,WR7830,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1035,WR7910,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1036,WR7920,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1037,WR8120,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1038,WR8135,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1039,WR8145,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1040,WR8340,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1041,WR8405A,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1042,WR8415,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1043,WR8820,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1044,WR8960Z,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1045,WR9905,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,Services,YES
1046,X111B,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
1047,X112A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
1048,X113A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
1049,X130A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
1050,X170A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
1051,X190A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
1052,X193A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
1053,AA415500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1054,AA415504,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1055,AA910300,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1056,AC217760,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1057,AC517728,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1058,AC517748,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1059,AC617732,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1060,AC617736,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1061,AC617768,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1062,AD217740,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1063,AD917700,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1064,AD917712,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1065,AD917716,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1066,AD917720,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1067,AD917724,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1068,AE913500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1069,AG214542,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1070,AG214562,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1071,AG214566,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1072,AG214600,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1073,AG414668,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1074,AG614500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1075,AG914510,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1076,AG914538,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1077,AG914558,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1078,AH115032,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1079,AH115036,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1080,AH215000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1081,AH215020,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1082,AH215024,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1083,AH910222,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1084,AJ110224,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1085,AJ110700,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1086,AJ110724,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1087,AJ111000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1088,AJ111140,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1089,AJ112000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1090,AJ119000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1091,AJ119004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1092,AJ119036,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1093,AJ119040,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1094,AJ119064,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1095,AJ119084,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1096,AJ212500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1097,AJ212512,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1098,AJ212516,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1099,AJ212528,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1100,AJ212540,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1101,AJ212552,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1102,AJ212568,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1103,AJ311500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1104,AJ412000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1105,AJ412008,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1106,AJ412040,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1107,AJ412048,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1108,AJ412060,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1109,AJ412068,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1110,AJ412072,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1111,AJ412100,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1112,AJ716500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1113,AJ716650,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1114,AJ914000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1115,AK117000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1116,AN117500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1117,AN417668,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1118,AP216000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1119,AP313000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1120,AP313076,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1121,AP518500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1122,AP518588,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1123,AR110432,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1124,AR210440,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1125,AR210444,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1126,AR210480,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1127,AR410476,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1128,AR910400,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1129,AS219528,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1130,AS219652,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1131,AS319620,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1132,AS419584,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1133,AS419632,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1134,AS918564,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1135,AT319560,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1136,AT419628,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1137,AT619624,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1138,AT919500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1139,AV718000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1140,AZ110111,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1141,AZ110112,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1142,AZ110114,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1143,AZ110134,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1144,AZ110136,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1145,AZ110140,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1146,AZ110172,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1147,AZ110174,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1148,AZ110176,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1149,AZ110178,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1150,AZ110210,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1151,AZ110252,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1152,AZ110254,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Services,NO
1153,B000A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
1154,B002A,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
1155,B100A,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,Services,YES
1156,B101A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
1157,B101B,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
1158,B102A,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,Services,YES
1159,B103A,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,Services,YES
1160,B109A,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,Services,YES
1161,B200A,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,Services,NO
1162,B200B,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,Services,NO
1163,B201A,YES,YES,YES,YES,YES,YES,#NO,NO,NO,NO,Services,NO
1164,B202A,YES,YES,YES,YES,YES,YES,#NO,NO,NO,NO,Services,NO
1165,B204A,YES,YES,YES,YES,YES,YES,#NO,NO,NO,NO,Services,NO
1166,B206A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
1167,B206B,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
1168,B208B,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
1169,B208BB,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
1170,B219A,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,Services,YES
1171,B301A,YES,YES,YES,YES,YES,YES,#NO,,,,Services,
1172,B303A,YES,YES,YES,YES,YES,YES,#NO,,,,Services,
1173,B304A,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,Services,YES
1174,B308A,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,Services,YES
1175,B311B,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,Services,YES
