,commodity_code,NAFTA,CCFTA,CCoFTA,CHFTA,CPaFTA,CPFTA,CKFTA,WTO-AGP,CETA,CPTPP,Type,CUFTA
57,5161AE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
58,5161AF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
59,5161AJ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
60,5161AK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
61,5161AN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
62,5161AP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
63,5161B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
64,5161C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
65,5161D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
66,5162A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
67,5162B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
68,5162C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
69,5162D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
70,5163A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
71,5163B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
72,5164A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
73,5164AB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
74,5164AF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
75,5164C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
76,5164CA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
77,5164CB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
78,5164CC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
79,5164CE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
80,5164CF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
81,5164CG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
82,5164CH,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
83,5164CJ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
84,5164CK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
85,5164CM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
86,5164CN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
87,5164CP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
88,5164CQ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
89,5164CU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
90,5164CV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
91,5164CW,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
92,5164D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
93,5164E,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
94,5165A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
95,5165AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
96,5165AB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
97,5166A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
98,5166B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
99,5169C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
100,5169CB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
101,5169D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
102,5169DA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
103,5169E,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
104,5169EA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
105,5169EB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
106,5169ED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
107,5169EE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
108,5169EF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
109,5169FC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
110,5169FD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
111,5169G,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
112,5169J,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
113,5169K,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
114,5169L,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
115,5169M,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
116,5169P,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
117,5171B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
118,5172A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
119,5173B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
120,5173BA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
121,5173BB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
122,5173C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
123,5174A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
124,5175A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
125,5175AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
126,5175AB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
127,5175AC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
128,5175AD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
129,5175B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
130,5176AB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
131,5176B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
132,5176C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
133,5176D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
134,5177A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
135,5177AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
136,5177AB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
137,5177AE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
138,5177AJ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
139,5177AK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
140,5177AL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
141,5177BA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
142,5179C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
143,5179CB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
144,5179D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
145,5179F,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
