commodity_code,gsin-description_en,gsin-description_fr,Commodity Type
5112B,Demolition Work,Travaux de démolition,Construction                                                    
5113B,Rock Blasting Services,Services de dynamitage du roc,Construction                                                    
5114C,Excavating and Earthmoving Work,Excavation et terrassement,Construction                                                    
5116A,Scaffolding Work,Échafaudage,Construction                                                    
5121A,Construction of One and Two Dwelling Buildings,Construction d'un et deux édifices à logements,Construction                                                    
5122A,Construction of Multi-Dwelling Buildings,Construction des édifices à logements multiples,Construction                                                    
5123B,Construction of Warehouses and Industrial Buildings,Construction d'entrepôts et de bâtiments industriels,Construction                                                    
5124B,Construction of Commercial Buildings,Construction d'édifices commerciaux,Construction                                                    
5127B,Construction of Educational Buildings,Construction de bâtiments scolaires,Construction                                                    
5128B,Construction of Health Buildings,Construction d'établissements de conditionnement physique,Construction                                                    
5129B,Construction of Other Buildings,Construction d'autres édifices,Construction                                                    
5131BB,Paving Contractor Services (except mud jacking),Services d'entrepreneur en pavage (sauf  injection de boue),Construction                                                    
5131BG,Oil Road Spreading Services,Services de répandage d'huile sur les routes,Construction                                                    
5131BI,Asphalt and Joint Sealing Services,Services de scellement pour asphalte et joints,Construction                                                    
5131C,"Highways, Roads, Railways,  Airfield Runways","Autoroutes, rues, routes, voies ferrées, pistes d'aéroport",Construction                                                    
5132A,"Bridges, Elevated Highways, Tunnels, Subways and Railroads","Ponts, autoroutes surélevées, tunnels, viaducs et voies ferrées",Construction                                                    
5133B,Irrigation and Flood Control,Irrigation et contrôle des inondations,Construction                                                    
5133C,"Waterways, Harbours, Dams and Other Water Works","Voies de navigation, ports, barrages et autres adductions d'eau",Construction                                                    
5133D,Sewers/ Drainage,Égouts / Drainage,Construction                                                    
5134A,Power Distribution and Transmission Lines,Distribution et transmission de l'électricité,Construction                                                    
5134B,Pipeline Construction,Construction de pipe-lines,Construction                                                    
5136A,Construction for Mining and Manufacturing,Construction pour l'exploitation minière et la fabrication,Construction                                                    
5138A,Dredging,Dragage,Construction                                                    
5138B,Dredging Services - Land Based,Services de dragage - base terrestre,Construction                                                    
5138C,Dredging Services - Floating Plant,Services de dragage - installation flottante,Construction                                                    
5139A,"Construction Services, Not Elsewhere Specified","Services de construction, non énumérés ailleurs",Construction                                                    
5139B,"Engineering Works, Not Elsewhere Specified","Travaux d'ingénierie, non énumérés ailleurs",Construction                                                    
5139C,General Heavy Construction,Grands travaux généraux,Construction                                                    
5139D,General Marine Construction Work,Travaux généraux de construction maritime,Construction                                                    
5141A,"Prefabricated Constructions, Supply and Erection",Constructions préfabriquées - fourniture et érection,Construction                                                    
5151A,Foundation Work,Travaux d'excavation,Construction                                                    
5151B,Pile Driving,Enforcement de pieux,Construction                                                    
5152A,WATER WELL DRILLING,FORAGE DE PUITS D EAU,Construction                                                    
5152AA,Water Well Services,Services de creusage de puits,Construction                                                    
5152B,Water Well Drilling,Forage de puits d'eau,Construction                                                    
5153A,"Roofing, Siding and Sheet Metal Installation Services","Services d'installation - couvertures, parements et tôlerie",Construction                                                    
5153AB,"Roofing, Asphalt and Shingle Services",Services - couvertures d'asphalte et de bardeaux,Construction                                                    
5153AE,Building Sheet Metal Services,Services - tôlerie de bâtiment,Construction                                                    
5153AF,Eavestroughing Services,Services - gouttières,Construction                                                    
5153AG,Industrial Waterproofing Membrane Systems (Roofing),Systèmes de membrane d'imperméabilisation industriels (couvertures),Construction                                                    
5153B,Roofing and Waterproofing,Travaux de couverture et d'imperméabilisation,Construction                                                    
5153BA,Building Waterproofing Services,Services d'imperméabilisation d'immeuble,Construction                                                    
5154A,Concrete Work,Travaux de bétonnage,Construction                                                    
5154AB,Concrete Cutting and Coring Services,Service de carottage et de découpage d'ouvrages en béton,Construction                                                    
5154C,Paving - Parking Areas,Pavage - parcs de stationnement,Construction                                                    
5155B,Steel Bending and Erection,Pliage et montage d'éléments en acier,Construction                                                    
5155C,Structural Steel Work,Ouvrages de construction en acier,Construction                                                    
5155D,Welding for Construction,Soudage pour la construction,Construction                                                    
5155E,Welding Contractor Services,Services d'entrepreneurs en soudure,Construction                                                    
5156A,"Masonry, Stonework","Ouvrages de maçonnerie, ouvrages de pierre",Construction                                                    
5156B,Masonry Work,Travaux de maçonnerie,Construction                                                    
5159A,"Rock, Stone Crushing Services",Services de concassage de roc et de pierre,Construction                                                    
5159B,Other Special Trade Construction Work,Travaux de construction d'autres corps de métiers,Construction                                                    
5159C,Chimney Repair Services,Services de réparation de cheminées,Construction                                                    
5159E,Smokestack Services,Services cheminées,Construction                                                    
5161A,Heating (except electric heating) and Air Conditioning,Chauffage (sauf le chauffage électrique) et climatisation,Construction                                                    
5161AC,Heating Contractor Services (except electrical heating),Services d'entrepreneur en chauffage (sauf le chauffage électrique),Construction                                                    
5161AE,Air Conditioning Contractor Services,Services d'entrepreneurs en climatisation,Construction                                                    
5161AF,Ventilating Services Contractors,Entrepreneurs en services de ventilation,Construction                                                    
5161AJ,"Boilers, Repair and Cleaning Services",Services de réparation et de nettoyage des chaudières,Construction                                                    
5161AK,"Pipe Insulations, Contractors","Isolation de tuyaux, entrepreneurs",Construction                                                    
5161AN,Boilers - Installation and Repair,"Chaudières, installation et réparation",Construction                                                    
5161AP,Ductwork - Repair and Cleaning Services,Services de réparation et de nettoyage de gaines de ventilation,Construction                                                    
5161B,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services","Services d'inspection et d'entretien des unités de chauffage, ventilation et de climatisation",Construction                                                    
5161C,Air Distribution Systems - Installation and Repair,Systèmes de distribution d'air - installation et réparation,Construction                                                    
5161D,BACS - Building Automation Control Systems,SACI - Système d'automatisation et de contrôle des immeubles,Construction                                                    
5162A,Water Plumbing and Drain Laying Work,Travaux de pose de drains et de plomberie (eau),Construction                                                    
5162B,"Sprinkler Systems, Installation and Repair",Systèmes de gicleurs - installation et réparation,Construction                                                    
5162C,Plumbing Contractor Services,Services d'entrepreneur en plomberie,Construction                                                    
5162D,Sewers and Drains,Égouts et drains,Construction                                                    
5163A,Gas Fitting Construction Work,Travaux d'installations au gaz,Construction                                                    
5163B,Building Gas System (Medical/Industrial) Contractors,Entrepreneurs en réseaux au gaz d'immeuble (installations médicales/industrielles),Construction                                                    
5164A,Electrical Installations and Major Repairs,Installations électriques et réparations majeures,Construction                                                    
5164AB,"Electrical Contractor Services, Class A Licence",Services d'entrepreneurs en électricité licencié de catégorie A,Construction                                                    
5164AF,Electrical Inspections,Vérifications des circuits électriques,Construction                                                    
5164C,Building Fire Protection Systems,Systèmes de protection d'immeuble contre les incendies,Construction                                                    
5164CA,Building Lighting - Installation and Repair,Appareils d'éclairage d'édifice - installation et réparation,Construction                                                    
5164CB,Power Generation System - Installation and Repair,Réseau de production d'énergie électrique - installation et réparation,Construction                                                    
5164CC,High Voltage Distribution System (above 600-Volt) - Installation and Repair,Réseau de distribution haute tension (plus de 600 volts) - installation et réparation,Construction                                                    
5164CE,Fire Alarm & Detection Systems - Installation and Repair,Systèmes de détection et d'alarme incendie - installation et réparation,Construction                                                    
5164CF,Uninterruptible Power Supply System - Installation and Repair,Bloc d'alimentation électrique sans coupure - installation et réparation,Construction                                                    
5164CG,Standby Power Generator Systems - Installation and Repair,Groupes électrogènes de secours - installation et réparation,Construction                                                    
5164CH,Building Intrusion Detection System - Installation and Repair,Systèmes de détection anti-effraction d'immeuble - installation et réparation,Construction                                                    
5164CJ,Security Control Systems - Installation and Repair,Systèmes de contrôle de la sécurité - installation et réparation,Construction                                                    
5164CK,Building Intercommunication System - Installation and Repair,Réseau d'intercommunication d'immeuble - installation et réparation,Construction                                                    
5164CM,Building Public Address Systems - Installation and Repair,Systèmes de sonorisation d'immeuble - installation et réparation,Construction                                                    
5164CN,Building Electrical Controls - Installation and Repair,Commandes électriques d'immeuble - installation et réparation,Construction                                                    
5164CP,Building Electronic Controls - Installation and Repair,Commandes électroniques d'immeuble - installation et réparation,Construction                                                    
5164CQ,Building Environmental Control Systems Servicing,Systèmes de contrôle de l'environnement d'immeuble - entretien,Construction                                                    
5164CU,"Low Voltage Electrical Equipment & Systems - Repairs, Testing, Verification & Alternatives","Équipement et systèmes électriques à bas voltage - réparations, essais, vérifications et options",Construction                                                    
5164CV,Generator Maintenance,Générator - entretien,Construction                                                    
5164CW,Uninterruptible Power Supply (UPS) System - Maintenance,Bloc d'alimentation électrique sans coupure - Entretien,Construction                                                    
5164D,Fire Alarm System Maintenance (building related),Entretien du système d'alarme incendie (immeubles),Construction                                                    
5164E,Security Systems Maintenance - Interior (built-in) Buildings,Entretien des systèmes de sécurité - Immeubles intérieurs (intégrés),Construction                                                    
5165A,Insulation Work,Travaux d'isolation,Construction                                                    
5165AA,"Pipe Insulations, Contractors",Entrepreneurs en isolation de tuyaux,Construction                                                    
5165AB,Building Insulation Contractor Services,Services d'entrepreneur en isolation d'immeuble,Construction                                                    
5166A,Fence Construction,Construction de clôtures,Construction                                                    
5166B,Fencing and Railing Work,"Clôtures, garde-corps et mains courantes",Construction                                                    
5169C,Elevator Installation,Installation des ascenseurs,Construction                                                    
5169CB,Elevator Maintenance (buildings),Entretien des ascenseurs (immeubles),Construction                                                    
5169D,Other Installation Work,Autres travaux d'installation,Construction                                                    
5169DA,"Building/Installation Special Trade Services, Not Elsewhere Specified","Services de corps de métiers spécialisés - construction/installation, non énumérés ailleurs",Construction                                                    
5169E,Doors and Windows Installation and Repair Services,Services d'installation et de réparation de portes et de fenêtres,Construction                                                    
5169EA,"Doors Metal Overhead, Installation and Repair",Portes relevables métalliques - installation et réparation,Construction                                                    
5169EB,"Doors, Shielded, Maintenance and Repairs",Portes blindées - entretien et réparation,Construction                                                    
5169ED,"Metal Doors and Frames, Installation and Repair",Portes et cadres métalliques - installation et réparation,Construction                                                    
5169EE,Overhead Door - Maintenance,Porte relevable - entretien,Construction                                                    
5169EF,"Door and Window Hardware, Installation and Replacement",Quincaillerie pour portes et fenêtres - installation et remplacement,Construction                                                    
5169FC,Carpet Laying/Installation,Tapis - moquettes - pose/installation,Construction                                                    
5169FD,Window Blinds - Installation and Repair,Stores - installation et réparation,Construction                                                    
5169G,Refrigeration Systems - Installation and Repair,Systèmes de réfrigération - installation et réparation,Construction                                                    
5169J,Chillers - Installation and Repair,Refroidisseurs - installation et réparation,Construction                                                    
5169K,Digital Control Systems - Installation and Repair,Systèmes de commandes numériques - installation et réparation,Construction                                                    
5169L,Building Computer Cabling Installation,Câblage de matériel informatique d'immeuble - installation,Construction                                                    
5169M,Fire Suppression/Extinguishing Systems - Dry Chemical,Installations d'extinction d'incendie - à poudre,Construction                                                    
5169P,"Mechanical Contractor Services, Not Elsewhere Specified","Services d'entrepreneur en mécanique, non énumérés ailleurs",Construction                                                    
5171B,Glazing and Window Glass Installation,Installation de verre à vitres et de vitrage,Construction                                                    
5172A,Plastering Work,Travaux de plâtrage,Construction                                                    
5173B,Painting Work,Travaux de peinturage,Construction                                                    
5173BA,Painting Services - Interior,Services de peinturage d'intérieur,Construction                                                    
5173BB,Painting Services - Exterior,Services de peinturage d'extérieur,Construction                                                    
5173C,Traffic Line Marking,Marquage de bandes  de séparation de la circulation,Construction                                                    
5174A,Floor and Wall Tiling Work,Travaux de pose de carreaux de sol et de mur,Construction                                                    
5175A,Other Floor Laying and Wall Papering Work,Autres travaux de pose de revêtement de sol et de papier peint,Construction                                                    
5175AA,Flooring Contractors,Entrepreneurs en revêtements de sol,Construction                                                    
5175AB,Floor Sanding and Refinishing Services,Services de ponçage et de refinition de planchers,Construction                                                    
5175AC,Epoxy Application Resurface Floors Service,Service d'application d'époxyde pour refaire le revêtement des planchers,Construction                                                    
5175AD,"Tile Contractors, Vinyl and Linoleum",Entrepreneurs en carreaux de vinyle et de linoléum,Construction                                                    
5175B,Carpentry and Flooring,Services de charpenterie et de planchéiage,Construction                                                    
5176AB,Carpentry Services,Services - travaux de charpenterie,Construction                                                    
5176B,Wood and Metal Joinery and Carpentry,Travaux de menuiserie et de charpenterie (bois et métal),Construction                                                    
5176C,Metal Fabricators (Iron and Steel),Façonneurs de métal (fer et acier),Construction                                                    
5176D,Ironwork Contractors,Entrepreneurs en ferronnerie,Construction                                                    
5177A,Textiles Trade Services,Services pour commerce de textiles,Construction                                                    
5177AA,"Textile Trade Service-Laminating, Insulation, DND Only","Service pour commerce de textiles - laminage, isolation, MDN seulement",Construction                                                    
5177AB,"Textile Trade Service, Coating Only","Service pour commerce de textile, enduction seulement",Construction                                                    
5177AE,"Textile Trade Service, Approved Sub-Contractors (Clothing Assembly Only)","Service pour commerce de textile, sous-entrepreneurs approuvés, assemblage de vêtements seulement",Construction                                                    
5177AJ,"Textile Trade Service, Film Laminator","Service pour commerce de textile, laminage, pellicule",Construction                                                    
5177AK,"Textile Trade Service, Fibre Laminator, DND Only","Service pour commerce de textile, laminage, fibre, MDN seulement",Construction                                                    
5177AL,"Textile Trade Service, Design Services, Clothing","Service pour commerce de textile, service de dessin de vêtements",Construction                                                    
5177BA,Interior Fit-Up/Renovations,Aménagement intérieur/rénovations,Construction                                                    
5179C,Building Exterior Cleaning,Nettoyage extérieur des immeubles,Construction                                                    
5179CB,Sandblasting Services,Services de sablage par jet,Construction                                                    
5179D,Protective and Alarm Systems,Systèmes de protection et d'alarme,Construction                                                    
5179F,"Building/Installation Special Trade Services, Not Elsewhere Specified","Services professionnels spéciaux de construction et d'installation, non énumérés ailleurs",Construction                                                    
5179FB,"General Contractor Services, Not Elsewhere Specified","Services d'entrepreneurs généraux , non énumérés ailleurs",Construction                                                    
5179H,General Machine Shop Services,Services généraux d'atelier de construction mécanique,Construction                                                    
5179HC,"Machine Shop Services, Precision","Services d'ateliers de construction mécanique, de précision",Construction                                                    
5179I,Other Building Completion and Finishing,Autres travaux d'achèvement et de finition des bâtiments,Construction                                                    
5181A,"Construction Equipment Rental, with Operator",Location d'équipement de construction avec opérateur,Construction                                                    
AA415500,Fisheries (R&D),Pêches (R&D),Services                                                        
AA415504,Aquaculture (R&D),Aquaculture (R&D),Services                                                        
AA910300,Agriculture (R&D),Agriculture (R&D),Services                                                        
AC217760,Missile Technology (R&D),Technologie des missiles (R&D),Services                                                        
AC517728,Conventional Military Weapons/Equipment (R&D),Armes et équipement militaires conventionnels (R&D),Services                                                        
AC517748,Military Target Ranges/Systems (R&D),Gammes et systèmes d'objectifs militaires (R&D),Services                                                        
AC617732,Electronic Military Countermeasures (Research),Contre-mesures militaires - électronique (Recherche),Services                                                        
AC617736,Military Communications (Research),Communications militaires (Recherche),Services                                                        
AC617768,Radar Defence Systems (R&D),Systèmes de défense radar (R&D),Services                                                        
AD217740,Military Logistics (Research),Logistique militaire (Recherche),Services                                                        
AD917700,Military (R&D),Domaine militaire (R&D),Services                                                        
AD917712,Biological Defence Technology (R&D),Technologie de la défense biologique (R&D),Services                                                        
AD917716,Camouflage (R&D),Camouflage (R&D),Services                                                        
AD917720,Chemical Defence Technology (R&D),Technologie de la défense chimique (R&D),Services                                                        
AD917724,Combat Stress Effects (R&D),Effets du stress de combat (R&D),Services                                                        
AE913500,Economics (R&D),Sciences économiques (R&D),Services                                                        
AG214542,Compressed Natural Gas Fuel Technology (R&D),Technologie du combustible à gaz naturel comprimé (R&D),Services                                                        
AG214562,Ethanol Fuel Technology (R&D),Technologie des combustibles à l'éthanol (R&D),Services                                                        
AG214566,Gas Pipeline Technology (R&D),Technologie des pipelines (R&D),Services                                                        
AG214600,Liquefied Natural Gas Fuel Technology (R&D),Technologie des combustibles à gaz naturel liquéfié (R&D),Services                                                        
AG414668,Wind Energy Systems (R&D),Systèmes d'énergie éolienne (R&D),Services                                                        
AG614500,Energy,Énergie,Services                                                        
AG914510,Boiler Technology (R&D),Technologie des chaudières (R&D),Services                                                        
AG914538,Cogeneration Technology (R&D),Technologie de la cogénération (R&D),Services                                                        
AG914558,Energy Efficiency Technology (R&D),Technologie du rendement énergétique (R&D),Services                                                        
AH115032,Environmental Assessment (R&D),Évaluation de milieu (R&D),Services                                                        
AH115036,Environmental Standards (Research),Normes environnementales (Recherche),Services                                                        
AH215000,"Environmental Sciences: Air, Water Pollution and other (R&D)","Sciences environnementales: Pollution atmosphérique, des eaux et autres (R&D)",Services                                                        
AH215020,Air Quality (Research),Qualité de l'air (Recherche),Services                                                        
AH215024,Atmospheric Pollutants (Research),Polluants atmosphériques (Recherche),Services                                                        
AH910222,Environmental Impact Study (R&D),Étude de l'impact environnemental (R&D),Services                                                        
AJ110224,Ergonomic Study (R&D),Étude ergonomique (R&D),Services                                                        
AJ110700,Biology (R&D),Biologie (R&D),Services                                                        
AJ110724,Biochemistry (R&D),Biochimie (R&D),Services                                                        
AJ111000,Chemistry (R&D),Chimie (R&D),Services                                                        
AJ111140,Trace Element Chemistry (R&D),Chimie des éléments marqueurs (R&D),Services                                                        
AJ112000,Engineering (R&D),Ingénierie (R&D),Services                                                        
AJ119000,Physics (R&D),Physique (R&D),Services                                                        
AJ119004,Acoustical Analysis/Technology (R&D),Analyse et technologie de l'acoustique (R&D),Services                                                        
AJ119036,Electro-Optics Technology (R&D),Technologie électro-optique (R&D),Services                                                        
AJ119040,Electromagnetic Technology (R&D),Technologie électromagnétique (R&D),Services                                                        
AJ119064,Laser Technology (R&D),Technologie du laser (R&D),Services                                                        
AJ119084,Radiometric Technology (R&D),Technologie radiométrique (R&D),Services                                                        
AJ212500,Computer Science (R&D),Informatique (R&D),Services                                                        
AJ212512,Communications Network Hardware (R&D),Matériel de réseau de communication (R&D),Services                                                        
AJ212516,Communications Network Software (R&D),Logiciel du réseau de communication (R&D),Services                                                        
AJ212528,Computer Systems Security (R&D),Sécurité des systèmes informatiques (R&D),Services                                                        
AJ212540,Expert Systems Development (R&D),Élaboration de systèmes experts (R&D),Services                                                        
AJ212552,Image Enhancement Analysis Technology (R&D),Technologie d'analyse de l'amélioration de l'image (R&D),Services                                                        
AJ212568,Pattern/Optical Recognition Technology (R&D),Technologie de reconnaissance des formes et de reconnaissance optique (R&D),Services                                                        
AJ311500,Climatology (R&D),Climatologie (R&D),Services                                                        
AJ412000,Communications (R&D),Communications (R&D),Services                                                        
AJ412008,Antenna Technology (R&D),Technologie des antennes (R&D),Services                                                        
AJ412040,Infrared Technology (R&D),Technologie de l'infrarouge (R&D),Services                                                        
AJ412048,Mobile Radio Technology (R&D),Technologie des émetteurs-récepteurs mobiles (R&D),Services                                                        
AJ412060,Radar Technology (R&D),Technologie du radar (R&D),Services                                                        
AJ412068,Satellite Communications Technology,Technologie des communications par satellite (R&D),Services                                                        
AJ412072,Satellite Navigation Technology (R&D),Technologie de la navigation par satellite (R&D),Services                                                        
AJ412100,Ultra Violet (UV) Technology (R&D),Technologie de l'ultra-violet (UV) (R&D),Services                                                        
AJ716500,Humanities and Social Sciences (R&D),Sciences humaines et sociales (R&D),Services                                                        
AJ716650,Historical Research (R&D),Recherche historique (R&D),Services                                                        
AJ914000,Electronics (R&D),Électronique (R&D),Services                                                        
AK117000,Materials/Products (R&D),Matériaux et produits (R&D),Services                                                        
AN117500,Medical (R&D),Médical (R&D),Services                                                        
AN417668,Vaccines (R&D),Vaccins (R&D),Services                                                        
AP216000,Forestry (R&D),Forêts (R&D),Services                                                        
AP313000,Earth Sciences (R&D),Sciences de la terre (R&D),Services                                                        
AP313076,Gravity Surveys,Levés gravimétriques,Services                                                        
AP518500,Oceanography (R&D),Océanographie (R&D),Services                                                        
AP518588,Sonar Technology (R&D),Technologie du sonar (R&D),Services                                                        
AR110432,Microgravity Processing Technology,Technologie des opérations en microgravité,Services                                                        
AR210440,Rocket Payload Instrumentation (R&D),Instruments pour déterminer la charge utile d'une fusée (R&D),Services                                                        
AR210444,Satellite Antenna Design and Development (R&D),Conception et mise au point d'antennes pour satellite (R&D),Services                                                        
AR210480,Spacecraft Instrumentation Development (R&D),Mise au point d'instruments pour engin spatial (R&D),Services                                                        
AR410476,Spacecraft Ground Control Technology,Technologie du contrôle au sol des engins spatiaux,Services                                                        
AR910400,Astronautics (R&D),Astronautique (R&D),Services                                                        
AS219528,All Terrain Vehicles (R&D),Véhicules tout-terrain (R&D),Services                                                        
AS219652,Vehicle Performance Measurement (Research),Mesure des performances des véhicules (Recherche),Services                                                        
AS319620,Railway Locomotion Technology (R&D),Technologie de la locomotion des chemins de fer (R&D),Services                                                        
AS419584,Marine Vessel Propulsion (Research),Propulsion des navires maritimes (recherche),Services                                                        
AS419632,Shipboard Electronics (R&D),Électronique à bord des navires (R&D),Services                                                        
AS918564,Remote Control Submersible Vehicle (R&D),Véhicule submersible à télécommande (R&D),Services                                                        
AT319560,Integrated Navigation Systems (R&D),Systèmes intégrés de navigation (R&D),Services                                                        
AT419628,Road Vehicle Safety (Research),Sécurité des véhicules automobiles (Recherche),Services                                                        
AT619624,Road Vehicle Regulations (Research),Règlement sur les véhicules automobiles (Recherche),Services                                                        
AT919500,Transportation (R&D),Transports (R&D),Services                                                        
AV718000,Mining and Metallurgy,Mines et Métallurgie,Services                                                        
AZ110111,Scientific Data Collection - Field (R&D),Collecte de données scientifiques sur les lieux (R&D),Services                                                        
AZ110112,Scientific Data Collection - Other Than Field (R&D),Collecte de données scientifiques ailleurs que les lieux (R&D),Services                                                        
AZ110114,Real Time Analysis: Science and Technology Related (R&D),Analyse en temps réel - science et technologie (R&D),Services                                                        
AZ110134,"Equipment/Machinery-Design, Development, Modification: Science and Technology Related (R&D)","Équipement, machines-conception, mise au point, modification, Science et Technologie (R&D)",Services                                                        
AZ110136,"Measuring Instruments-Design, Development, Modification: Science and Technology Related (R&D)","Instrument de mesure, conception, mise au point, modification, science et technologie (R&D)",Services                                                        
AZ110140,"Product/Material - Design, Development, Formulation, Modification: Science and Technology Related (R&D)","Produits, Matériaux - conception, mise au point, élaboration: Domaine de la Science et de la Technologie (R&D)",Services                                                        
AZ110172,Forecasting Models: Science and Technology Related (R&D),Modèles de prévision - science et technologie (R&D),Services                                                        
AZ110174,Mathematical Models/Algorithms: Science and Technology Related (R&D),Modèles mathématiques/algorithmes - science et technologie (R&D),Services                                                        
AZ110176,Process Simulation Models: Science and Technology Related (R&D),Modèles de simulation du déroulement - science et technologie (R&D),Services                                                        
AZ110178,Functional Simulation Modelling : Science and Technology Related (R&D),Modèles de simulation fonctionnelle - science et technologie (R&D),Services                                                        
AZ110210,Research Project Management Services (R&D),Services de gestion de projet de recherche (R&D),Services                                                        
AZ110252,System Requirements Definition: Science and Technology Related (R&D),Définition des exigences de systèmes - science et technologie (R&D),Services                                                        
AZ110254,"System Design, Development and Testing: Science and Technology Related (R&D)","Conception, mise au point et essai de systèmes - science et technologie (R&D)",Services                                                        
B000A,"Chemical/Biological Studies and Analyses, Military","Études et analyses chimiques et biologiques, secteur militaire",Services                                                        
B002A,Animal and Fisheries Studies,Études d'animaux et d'aquaculture,Services                                                        
B100A,Air Quality Analyses,Analyses sur la qualité d'air,Services                                                        
B101A,Environmental Impact Studies,Études d'impact sur l'environnement,Services                                                        
B101B,Environmental Studies - Construction Sites,Études environnementales - chantiers de construction,Services                                                        
B102A,Soil Studies,Études du sol,Services                                                        
B103A,Water Quality Studies,Études sur la qualité de l'eau,Services                                                        
B109A,Other Environmental Studies,Autres études environnementales,Services                                                        
B200A,Rock Core Drilling and Sampling,Carottage et échantillonnage,Services                                                        
B200B,Geological Studies,Études géologiques,Services                                                        
B201A,Geophysical Studies,Études géophysiques,Services                                                        
B202A,Geotechnical Studies - Licensed Engineers,Études géotechniques -ingénieurs agréés,Services                                                        
B204A,Seismological Studies,Études sismologiques,Services                                                        
B206A,Energy Studies including Federal Buildings Initiative,"Études sur l'énergie, y compris L'Initiative des bâtiments fédéraux",Services                                                        
B206B,Energy Evaluations of Buildings,Évaluations énergétiques de bâtiments,Services                                                        
B208B,Environmental Planning and Control,Aménagement et contrôle du milieu,Services                                                        
B208BB,Consulting Services - Energy Conservation Systems,Services de consultation - systèmes de conservation d'énergie,Services                                                        
B219A,Other Engineering Studies,Autres études techniques,Services                                                        
B301A,Data Analysis - Performance of a Survey,Analyse des données - Réalisation d'un sondage,Services                                                        
B303A,Systems and Statistical Analysis,Analyse fonctionnelle et statistique,Services                                                        
B304A,Regulatory Studies,Études de réglementation,Services                                                        
B308A,Accounting and Financial Management Studies,Études de comptabilité et de gestion financière,Services                                                        
B311B,Alternative Work Environment Studies,Étude des différents types de régime de travail,Services                                                        
B314A,Valuation Policies and Procedures,Politiques et procédures d'évaluation,Services                                                        
B329A,Business Services / Modelling and Analysis,Services d'affaires commerciaux / modélisation et analyse,Services                                                        
B329B,Advisory Support Services / Natural resources efficiency,Service de soutien consultatifs / efficacité des ressources naturelles,Services                                                        
B400A,Space Policy Studies,Études relatives à la politique spatiale,Services                                                        
B500A,Archaeological/Paleontological Services,Services d'archéologie et de paléontologie,Services                                                        
B500B,Archaeological Site Investigations,Fouilles de sites archéologiques,Services                                                        
B503A,Medical and Health Studies,Études sur la médecine et la santé,Services                                                        
B503B,Medical and Health Studies / Modelling and Analysis,Études sur la médecine et la santé / Modélisation et analyse,Services                                                        
B506D,Economic Studies / Modelling and Analysis,Études économiques / Modélisation et analyse,Services                                                        
B509A,Land Use Studies,Études sur l'utilisation des terres,Services                                                        
C111A,Architect/Engineer Services - Administration & Service Buildings,Services d'architectes et d'ingénieurs - bâtiments d'administration et de service,Services                                                        
C112A,"Architect/Engineer Services - Airfield, Communication and Missile Facilities","Services d'architectes et d'ingénieurs - installations d'aérodromes, de communications et de missiles",Services                                                        
C113A,Architect/Engineer Services - Educational Buildings,Services d'architectes et d'ingénieurs - bâtiments scolaires,Services                                                        
C114A,Architect/Engineer Services - Hospital Buildings,Services d'architectes et d'ingénieurs - bâtiments hospitaliers,Services                                                        
C115A,Architect/Engineer Services - Industrial Buildings,Services d'architectes et d'ingénieurs - bâtiments industriels,Services                                                        
